"probeID","CpG_chrm","CpG_beg","CpG_end","probe_strand","CpG_sites_hg19","CHR","Probe_SNPs","gene","TSS_position","UCSC_CpG_Islands_Name","Feature_Type","predict","prob"
"cg00041575","chr11",2322740,2322742,"-","11:2322741","11","","TSPAN32","TSS1500","","","Updated_Hypo_MS4",0.313232950060031
"cg00041575","chr11",2322740,2322742,"-","11:2322741","11","","C11orf21","Body","","","Updated_Hypo_MS4",0.313232950060031
"cg00115458","chr6",33141304,33141306,"+","6:33141305","6","","COL11A2","Body","","","Updated_Hypo_MS4",0.247666109585744
"cg00121255","chr6",114844831,114844833,"-","6:114844832","6","","","","","","Updated_Hypo_MS4",0.28342189744574
"cg00166915","chr14",101361358,101361360,"+","14:101361359","14","","MEG8","Body","","","Updated_Hypo_MS4",0.240704817000004
"cg00175487","chr14",101490185,101490187,"-","14:101490186","14","","MIR299","Body","","","Updated_Hypo_MS4",0.272295301384219
"cg00175487","chr14",101490185,101490187,"-","14:101490186","14","","MIR380","TSS1500","","","Updated_Hypo_MS4",0.272295301384219
"cg00187686","chr11",59634217,59634219,"+","11:59634218","11","","TCN1","TSS200","","","Updated_Hypo_MS4",0.2533678058742
"cg00282706","chr12",6055429,6055431,"-","12:6055430","12","","ANO2","TSS200","","","Updated_Hypo_MS4",0.393523283840649
"cg00301372","chr2",139654346,139654348,"+","2:139654347","2","","","","","","Updated_Hypo_MS4",0.283828810545928
"cg00423453","chr11",5372943,5372945,"+","11:5372944","11","","OR51B6","1stExon","","","Updated_Hypo_MS4",0.337503465065378
"cg00431968","chr8",92528312,92528314,"-","8:92528313","8","","","","","","Updated_Hypo_MS4",0.282333344327851
"cg00451397","chr2",48843644,48843646,"-","2:48843645","2","","STON1-GTF2A1L","Body","chr2:48844751-48844985","N_Shore","Updated_Hypo_MS4",0.309321751406398
"cg00451397","chr2",48843644,48843646,"-","2:48843645","2","","GTF2A1L","TSS1500","chr2:48844751-48844985","N_Shore","Updated_Hypo_MS4",0.309321751406398
"cg00467296","chr11",4928759,4928761,"+","11:4928760","11","","OR51A7","1stExon","","","Updated_Hypo_MS4",0.329278270071978
"cg00490406","chr1",159046772,159046774,"-","1:159046773","1","rs16841642","AIM2","TSS200","","","Updated_Hypo_MS4",0.513939425467852
"cg00491523","chr16",6913335,6913337,"-","16:6913336","16","","A2BP1","5'UTR","","","Updated_Hypo_MS4",0.284771880378369
"cg00519829","chr10",99696218,99696220,"-","10:99696219","10","","CRTAC1","Body","","","Updated_Hypo_MS4",0.23282992031458
"cg00563352","chr5",9765707,9765709,"-","5:9765708","5","","LOC285692","Body","","","Updated_Hypo_MS4",0.477588526829883
"cg00629625","chr20",44663629,44663631,"-","20:44663630","20","","SLC12A5","Body","chr20:44660342-44660948","S_Shelf","Updated_Hypo_MS4",0.184469762324606
"cg00640053","chr7",155305910,155305912,"-","7:155305911","7","","CNPY1","5'UTR","chr7:155302253-155303158","S_Shelf","Updated_Hypo_MS4",0.23565119372568
"cg00650953","chr7",147500502,147500504,"+","7:147500503","7","","CNTNAP2","Body","","","Updated_Hypo_MS4",0.319679123213924
"cg00651359","chr7",132219280,132219282,"+","7:132219281","7","","PLXNA4","5'UTR","","","Updated_Hypo_MS4",0.362128141582794
"cg00671600","chr20",61792442,61792444,"-","20:61792443","20","","","","chr20:61788160-61788669","S_Shelf","Updated_Hypo_MS4",0.342374423603101
"cg00676711","chr8",21268341,21268343,"-","8:21268342","8","","","","","","Updated_Hypo_MS4",0.311873704367807
"cg00679763","chr17",46993160,46993162,"+","17:46993161","17","","UBE2Z","Body","","","Updated_Hypo_MS4",0.388244794215216
"cg00735080","chr21",47285120,47285122,"+","21:47285121","21","","PCBP3","Body","chr21:47287012-47287426","N_Shore","Updated_Hypo_MS4",0.284807143667527
