probeID,CpG_chrm,CpG_beg,CpG_end,probe_strand,CpG_sites_hg19,CHR,Probe_SNPs,gene,TSS_position,UCSC_CpG_Islands_Name,Feature_Type,signature
cg00002033,chr19,39798480,39798482,+,19:39798481,19,,LRFN1,Body,chr19:39797786-39799250,Island,Hyper.MS1
cg00005166,chr16,3264441,3264443,-,16:3264442,16,,OR1F2P,TSS1500,,,Hypo.MS2
cg00009553,chr16,61854083,61854085,-,16:61854084,16,rs7191782,CDH8,Body,,,Hypo.MS4
cg00014260,chr8,10383070,10383072,-,8:10383071,8,,T-SP1,TSS200,,,Hypo.MS4
cg00017489,chr7,153583317,153583319,+,7:153583318,7,,DPP6,TSS1500,chr7:153583317-153585666,Island,Hyper.MS3
cg00017842,chr2,119528420,119528422,+,2:119528421,2,,,,chr2:119532065-119532315,N_Shelf,Hypo.MS2
cg00025405,chr5,2135862,2135864,+,5:2135863,5,,,,chr5:2136797-2137305,N_Shore,Hypo.MS4
cg00029246,chr7,137223416,137223418,-,7:137223417,7,,DGKI,Body,,,Hypo.MS2
cg00031187,chr12,31522996,31522998,+,12:31522997,12,,,,,,Hyper.MS2
cg00031346,chr6,168478518,168478520,-,6:168478519,6,,FRMD1,Body,chr6:168479566-168479809,N_Shore,Hypo.MS7
cg00032205,chr8,98290371,98290373,-,8:98290372,8,,TSPYL5,TSS200,chr8:98289604-98290404,Island,Hyper.MS3
cg00035316,chr2,176993016,176993018,-,2:176993017,2,,HOXD8,TSS1500,chr2:176992950-176993186,Island,Hyper.MS3
cg00037457,chr17,59531743,59531745,+,17:59531744,17,,,,chr17:59531723-59535254,Island,Hyper.MS1
cg00041575,chr11,2322740,2322742,-,11:2322741,11,,C11orf21,Body,,,Hypo.MS7
cg00041575,chr11,2322740,2322742,-,11:2322741,11,,TSPAN32,TSS1500,,,Hypo.MS7
cg00043591,chr7,156874859,156874861,-,7:156874860,7,,,,chr7:156871054-156871297,S_Shelf,Hypo.MS4
cg00044796,chr1,146552389,146552391,+,1:146552390,1,,,,chr1:146552328-146552577,Island,Hyper.MS1
cg00064296,chr8,88712002,88712004,+,8:88712003,8,,,,,,Hypo.MS7
cg00071012,chr15,22442047,22442049,-,15:22442048,15,,,,,,Hypo.MS4
cg00073384,chr1,248343650,248343652,+,1:248343651,1,,OR2M2,1stExon,,,Hypo.MS2
cg00073460,chr6,149806501,149806503,-,6:149806502,6,,ZC3H12D,TSS1500,,,Hypo.MS3
cg00074145,chr15,53075504,53075506,-,15:53075505,15,,ONECUT1,Body,chr15:53076187-53077926,N_Shore,Hyper.MS3
cg00074348,chr11,57006272,57006274,-,11:57006273,11,,APLNR,TSS1500,,,Hypo.MS1
cg00079598,chr11,123676902,123676904,-,11:123676903,11,,OR6M1,1stExon,,,Hypo.MS5
cg00081087,chr7,34873911,34873913,+,7:34873912,7,,NPSR1,Body,,,Hypo.MS7
cg00081087,chr7,34873911,34873913,+,7:34873912,7,,AAA1,Body,,,Hypo.MS7
cg00081465,chr18,77383608,77383610,-,18:77383609,18,rs9950828,,,chr18:77386827-77387050,N_Shelf,Hypo.MS4
cg00084338,chr6,170595919,170595921,-,6:170595920,6,,DLL1,Body,chr6:170597246-170597499,N_Shore,Hyper.MS2
cg00084798,chr8,142841964,142841966,-,8:142841965,8,rs36077428,,,chr8:142841912-142842157,Island,Hypo.MS4
cg00088688,chr6,167560503,167560505,-,6:167560504,6,rs10946218,,,,,Hyper.MS2
cg00090261,chr8,101118547,101118549,-,8:101118548,8,,RGS22,TSS1500,chr8:101117922-101118693,Island,Hyper.MS1
cg00094744,chr2,239927430,239927432,-,2:239927431,2,,,,chr2:239930798-239931057,N_Shelf,Hypo.MS2
cg00097146,chr2,45171817,45171819,-,2:45171818,2,rs338074,SIX3,Body,chr2:45169505-45171884,Island,Hyper.MS1
cg00097645,chr19,9325437,9325439,-,19:9325438,19,rs57568862,OR7D4,1stExon,,,Hypo.MS4
cg00101629,chr1,15068965,15068967,+,1:15068966,1,,KIAA1026,Body,,,Hypo.MS3
cg00106345,chr7,27138395,27138397,-,7:27138396,7,rs76990950,,,chr7:27135342-27136736,S_Shore,Hyper.MS2
cg00107631,chr16,86741266,86741268,+,16:86741267,16,,,,,,Hypo.MS4
cg00115458,chr6,33141304,33141306,+,6:33141305,6,,COL11A2,Body,,,Hypo.MS2
cg00116092,chr1,217313043,217313045,+,1:217313044,1,,,,chr1:217310749-217311178,S_Shore,Hyper.MS3
cg00118989,chr5,135701793,135701795,+,5:135701794,5,,TRPC7,TSS1500,,,Hypo.MS6
cg00121255,chr6,114844831,114844833,-,6:114844832,6,,,,,,Hypo.MS7
cg00123055,chr8,55370950,55370952,-,8:55370951,8,rs10104846,SOX17,1stExon,chr8:55370170-55372525,Island,Hyper.MS3
cg00123762,chr6,41343696,41343698,+,6:41343697,6,,,,chr6:41340667-41342543,S_Shore,Hyper.MS3
cg00128482,chr8,75737455,75737457,+,8:75737456,8,,PI15,5'UTR,,,Hypo.MS4
cg00130530,chr6,35657201,35657203,+,6:35657202,6,,FKBP5,5'UTR,chr6:35655607-35656856,S_Shore,Hypo.MS2
cg00130530,chr6,35657201,35657203,+,6:35657202,6,,FKBP5,TSS1500,chr6:35655607-35656856,S_Shore,Hypo.MS2
cg00134787,chr17,10419498,10419500,+,17:10419499,17,,MYH1,Body,,,Hypo.MS2
cg00136405,chr4,123542197,123542199,+,4:123542198,4,,IL21,5'UTR,,,Hypo.MS5
cg00136405,chr4,123542197,123542199,+,4:123542198,4,,IL21,1stExon,,,Hypo.MS5
cg00143527,chr15,81292170,81292172,-,15:81292171,15,,MESDC1,TSS1500,chr15:81292793-81295609,N_Shore,Hypo.MS1
cg00144335,chr4,107175,107177,+,4:107176,4,,ZNF718,Body,chr4:107146-107898,Island,Hyper.MS3
cg00154357,chr3,147111279,147111281,+,3:147111280,3,,ZIC4,Body,chr3:147108511-147111703,Island,Hyper.MS2
cg00154357,chr3,147111279,147111281,+,3:147111280,3,,ZIC4,TSS1500,chr3:147108511-147111703,Island,Hyper.MS2
cg00157572,chr14,60977960,60977962,-,14:60977961,14,,SIX6,Body,chr14:60975732-60978180,Island,Hyper.MS1
cg00159780,chr8,86574468,86574470,-,8:86574469,8,,REXO1L2P,Body,chr8:86573421-86575248,Island,Hypo.MS4
cg00159780,chr8,86574468,86574470,-,8:86574469,8,,REXO1L1,1stExon,chr8:86573421-86575248,Island,Hypo.MS4
cg00160262,chr1,158533224,158533226,-,1:158533225,1,,OR6P1,1stExon,,,Hypo.MS6
cg00160981,chr1,161691910,161691912,-,1:161691911,1,rs905592,FCRLB,TSS1500,chr1:161695637-161697298,N_Shelf,Hypo.MS3
cg00163018,chr1,237413812,237413814,+,1:237413813,1,,RYR2,Body,,,Hypo.MS2
cg00164949,chr17,43037426,43037428,+,17:43037427,17,,C1QL1,3'UTR,chr17:43037166-43037740,Island,Hyper.MS2
cg00166915,chr14,101361358,101361360,+,14:101361359,14,,MEG8,Body,,,Hypo.MS7
cg00167670,chr4,13922943,13922945,+,4:13922944,4,,,,,,Hypo.MS1
cg00168191,chr19,3097564,3097566,+,19:3097565,19,,GNA11,Body,chr19:3097564-3097793,Island,Hyper.MS2
cg00169725,chr5,176543900,176543902,+,5:176543901,5,,,,chr5:176543900-176544228,Island,Hyper.MS1
cg00169897,chr16,89098781,89098783,+,16:89098782,16,,,,,,Hypo.MS2
cg00175487,chr14,101490185,101490187,-,14:101490186,14,,MIR380,TSS1500,,,Hypo.MS2
cg00175487,chr14,101490185,101490187,-,14:101490186,14,,MIR299,Body,,,Hypo.MS2
cg00179940,chr12,126978052,126978054,+,12:126978053,12,,,,,,Hypo.MS6
cg00181834,chr10,23463014,23463016,+,10:23463015,10,,,,chr10:23462224-23463889,Island,Hyper.MS3
cg00187686,chr11,59634217,59634219,+,11:59634218,11,,TCN1,TSS200,,,Hypo.MS6
cg00191458,chr5,169757858,169757860,-,5:169757859,5,,LOC257358,TSS1500,,,Hypo.MS4
cg00200755,chr15,88945782,88945784,-,15:88945783,15,,,,,,Hypo.MS2
cg00205756,chr16,7762117,7762119,+,16:7762118,16,,A2BP1,3'UTR,,,Hypo.MS4
cg00206063,chr10,3805251,3805253,+,10:3805252,10,,,,,,Hypo.MS1
cg00212521,chr1,240370407,240370409,-,1:240370408,1,,FMN2,Body,chr1:240370859-240371526,N_Shore,Hypo.MS5
cg00214856,chr11,2242499,2242501,+,11:2242500,11,,,,,,Hypo.MS7
cg00221650,chr2,6819649,6819651,-,2:6819650,2,,,,,,Hypo.MS3
cg00222472,chr1,164545782,164545784,-,1:164545783,1,,PBX1,Body,chr1:164545540-164545917,Island,Hyper.MS2
cg00223767,chr11,75831714,75831716,-,11:75831715,11,rs7952260,UVRAG,Body,,,Hyper.MS2
cg00226580,chr5,89000690,89000692,-,5:89000691,5,,,,,,Hypo.MS7
cg00227110,chr11,124056296,124056298,-,11:124056297,11,,,,,,Hypo.MS4
cg00228984,chr20,1471883,1471885,+,20:1471884,20,,SIRPB2,Body,,,Hypo.MS4
cg00231528,chr1,9714279,9714281,+,1:9714280,1,,C1orf200,Body,chr1:9711780-9713001,S_Shore,Hypo.MS3
cg00231528,chr1,9714279,9714281,+,1:9714280,1,,PIK3CD,5'UTR,chr1:9711780-9713001,S_Shore,Hypo.MS3
cg00233633,chr7,29153559,29153561,-,7:29153560,7,,CPVL,Body,,,Hypo.MS1
cg00239657,chr5,2703941,2703943,+,5:2703942,5,,,,,,Hypo.MS7
cg00242951,chr3,9596481,9596483,-,3:9596482,3,,LHFPL4,TSS1500,chr3:9595185-9595533,S_Shore,Hypo.MS6
cg00243661,chr11,6913643,6913645,-,11:6913644,11,,OR2D2,1stExon,,,Hypo.MS6
cg00249511,chr11,627151,627153,+,11:627152,11,,SCT,5'UTR,chr11:626728-628037,Island,Hyper.MS3
cg00249511,chr11,627151,627153,+,11:627152,11,,SCT,1stExon,chr11:626728-628037,Island,Hyper.MS3
cg00252418,chr7,154540324,154540326,-,7:154540325,7,,DPP6,Body,chr7:154542059-154542348,N_Shore,Hypo.MS5
cg00264754,chr11,40136809,40136811,+,11:40136810,11,,LRRC4C,Body,,,Hypo.MS7
cg00266592,chr6,3139626,3139628,+,6:3139627,6,rs35893871,BPHL,Body,chr6:3140555-3140785,N_Shore,Hypo.MS4
cg00269817,chr8,57361796,57361798,-,8:57361797,8,,,,chr8:57359899-57360114,S_Shore,Hypo.MS4
cg00275828,chr17,39222689,39222691,+,17:39222690,17,,KRTAP2-4,TSS1500,,,Hypo.MS7
cg00279790,chr1,46914032,46914034,-,1:46914033,1,,,,chr1:46913786-46914343,Island,Hyper.MS3
cg00280812,chr12,52585843,52585845,+,12:52585844,12,,KRT80,TSS200,,,Hypo.MS1
cg00282706,chr12,6055429,6055431,-,12:6055430,12,,ANO2,TSS200,,,Hypo.MS7
cg00283524,chr22,44639905,44639907,-,22:44639906,22,,KIAA1644,3'UTR,,,Hypo.MS4
cg00295794,chr13,100641408,100641410,-,13:100641409,13,,,,chr13:100641334-100642188,Island,Hyper.MS1
cg00297282,chr7,50469686,50469688,-,7:50469687,7,,IKZF1,3'UTR,chr7:50467566-50468400,S_Shore,Hypo.MS4
cg00298065,chr19,58715576,58715578,+,19:58715577,19,,ZNF274,Body,chr19:58715220-58716033,Island,Hyper.MS2
cg00298065,chr19,58715576,58715578,+,19:58715577,19,,ZNF274,5'UTR,chr19:58715220-58716033,Island,Hyper.MS2
cg00298919,chr16,86421795,86421797,-,16:86421796,16,,,,,,Hypo.MS6
cg00298977,chr1,153175841,153175843,+,1:153175842,1,,LELP1,TSS200,,,Hypo.MS5
cg00301372,chr2,139654346,139654348,+,2:139654347,2,,,,,,Hypo.MS7
cg00301762,chr7,1714055,1714057,-,7:1714056,7,rs6942630,,,chr7:1703861-1710517,S_Shelf,Hypo.MS1
cg00319312,chr1,203671139,203671141,+,1:203671140,1,,ATP2B4,Body,,,Hypo.MS4
cg00320216,chr11,128450028,128450030,-,11:128450029,11,rs11221361,ETS1,5'UTR,,,Hypo.MS1
cg00321555,chr10,6779874,6779876,-,10:6779875,10,,,,,,Hypo.MS7
cg00325910,chr1,153430295,153430297,+,1:153430296,1,,S100A7,Body,,,Hypo.MS2
cg00332937,chr5,72740459,72740461,-,5:72740460,5,rs61314305,,,chr5:72740051-72740800,Island,Hyper.MS3
cg00334063,chr3,147106009,147106011,+,3:147106010,3,,ZIC4,3'UTR,chr3:147108511-147111703,N_Shelf,Hyper.MS3
cg00334063,chr3,147106009,147106011,+,3:147106010,3,,ZIC4,Body,chr3:147108511-147111703,N_Shelf,Hyper.MS3
cg00336320,chr6,36253098,36253100,-,6:36253099,6,rs77449948,PNPLA1,Body,,,Hyper.MS3
cg00336320,chr6,36253098,36253100,-,6:36253099,6,rs77449948,PNPLA1,5'UTR,,,Hyper.MS3
cg00336700,chr2,176943703,176943705,-,2:176943704,2,,,,chr2:176944087-176948446,N_Shore,Hyper.MS2
cg00340127,chr1,242250507,242250509,+,1:242250508,1,,,,,,Hypo.MS3
cg00345366,chr11,18128176,18128178,-,11:18128177,11,,SAAL1,TSS1500,chr11:18127296-18127711,S_Shore,Hypo.MS2
cg00346208,chr1,20669904,20669906,+,1:20669905,1,,VWA5B1,Body,chr1:20669566-20670018,Island,Hyper.MS3
cg00347746,chr19,48970081,48970083,-,19:48970082,19,,,,chr19:48972225-48973157,N_Shelf,Hypo.MS2
cg00350503,chr19,13613613,13613615,-,19:13613614,19,rs2900966,CACNA1A,Body,chr19:13616752-13617267,N_Shelf,Hypo.MS6
cg00353353,chr7,157371979,157371981,+,7:157371980,7,,PTPRN2,Body,chr7:157369120-157369394,S_Shelf,Hypo.MS3
cg00356208,chr16,55167580,55167582,-,16:55167581,16,,,,,,Hypo.MS7
cg00363177,chr10,114938425,114938427,+,10:114938426,10,,,,,,Hypo.MS1
cg00366850,chr2,45232416,45232418,+,2:45232417,2,,SIX2,3'UTR,chr2:45231781-45232550,Island,Hyper.MS1
cg00370106,chr6,159071105,159071107,+,6:159071106,6,,SYTL3,1stExon,,,Hypo.MS7
cg00370106,chr6,159071105,159071107,+,6:159071106,6,,SYTL3,5'UTR,,,Hypo.MS7
cg00373436,chr3,111721342,111721344,+,3:111721343,3,,TAGLN3,Body,,,Hypo.MS1
cg00374016,chr15,24722943,24722945,+,15:24722944,15,,,,chr15:24722717-24723015,Island,Hyper.MS2
cg00376553,chr7,100073280,100073282,+,7:100073281,7,,TSC22D4,Body,chr7:100075303-100075551,N_Shelf,Hyper.MS2
cg00379648,chr12,106979450,106979452,+,12:106979451,12,,RFX4,Body,chr12:106979429-106981086,Island,Hyper.MS3
cg00379720,chr19,23185967,23185969,-,19:23185968,19,,,,chr19:23185562-23186050,Island,Hyper.MS1
cg00380428,chr17,77463586,77463588,+,17:77463587,17,,HRNBP3,5'UTR,chr17:77460245-77460646,S_Shelf,Hypo.MS6
cg00384539,chr8,70983566,70983568,+,8:70983567,8,,PRDM14,TSS200,chr8:70981873-70984888,Island,Hyper.MS1
cg00394221,chr1,157772524,157772526,-,1:157772525,1,,FCRL1,Body,,,Hypo.MS4
cg00396667,chr5,134364386,134364388,+,5:134364387,5,,PITX1,3'UTR,chr5:134363092-134365146,Island,Hyper.MS1
cg00400448,chr15,60285690,60285692,+,15:60285691,15,,,,chr15:60287107-60287663,N_Shore,Hyper.MS1
cg00423153,chr2,229046784,229046786,-,2:229046785,2,,SPHKAP,TSS1500,chr2:229045957-229046553,S_Shore,Hyper.MS1
cg00423453,chr11,5372943,5372945,+,11:5372944,11,,OR51B6,1stExon,,,Hypo.MS2
cg00423675,chr9,138067679,138067681,+,9:138067680,9,,,,chr9:138068090-138068294,N_Shore,Hypo.MS2
cg00425918,chr8,23563145,23563147,-,8:23563146,8,,NKX2-6,Body,chr8:23562475-23565175,Island,Hyper.MS3
cg00430895,chr18,13136339,13136341,-,18:13136340,18,,,,chr18:13136596-13137564,N_Shore,Hypo.MS3
cg00431968,chr8,92528312,92528314,-,8:92528313,8,,,,,,Hypo.MS5
cg00437360,chr17,14213578,14213580,-,17:14213579,17,,HS3ST3B1,Body,chr17:14212363-14212788,S_Shore,Hyper.MS2
cg00440032,chr12,127257678,127257680,-,12:127257679,12,,,,,,Hypo.MS4
cg00444151,chr17,33823618,33823620,-,17:33823619,17,,SLFN12L,Body,,,Hyper.MS2
cg00444390,chr11,7950224,7950226,+,11:7950225,11,,OR10A6,TSS200,,,Hypo.MS4
